time,altitude (m),speed (km/h),distance (km)
2013-10-05 11:57:49,68.8,13.5,13.407
2013-10-05 11:57:53,68.8,12.7,13.420
2013-10-05 11:57:58,68.6,12.7,13.438
2013-10-05 11:58:03,68.6,13.2,13.458
2013-10-05 11:58:09,68.4,13.8,13.481
2013-10-05 11:58:10,68.4,13.9,13.485
2013-10-05 11:58:16,68.6,13.0,13.505
2013-10-05 11:58:20,68.4,13.3,13.521
2013-10-05 11:58:25,68.4,13.3,13.539
2013-10-05 11:58:31,68.0,13.1,13.561
2013-10-05 11:58:33,68.0,12.9,13.568
2013-10-05 11:58:39,67.6,13.2,13.591
2013-10-05 11:58:45,67.2,13.4,13.613
2013-10-05 11:58:51,66.6,13.1,13.635
2013-10-05 11:58:52,66.6,13.1,13.638
2013-10-05 11:58:58,66.2,12.6,13.658
2013-10-05 11:59:04,65.8,12.4,13.680
2013-10-05 11:59:09,65.8,13.4,13.700
2013-10-05 11:59:11,65.6,13.7,13.708
2013-10-05 11:59:16,65.6,14.7,13.730
2013-10-05 11:59:17,65.6,14.8,13.733
2013-10-05 11:59:22,65.8,14.5,13.752
2013-10-05 11:59:26,66.6,14.3,13.767
2013-10-05 11:59:30,67.2,13.7,13.783
2013-10-05 11:59:34,68.2,14.2,13.799
2013-10-05 11:59:38,69.6,13.3,13.812
2013-10-05 11:59:43,72.2,13.2,13.831
2013-10-05 11:59:48,73.4,13.5,13.851
2013-10-05 11:59:50,73.6,14.4,13.860
2013-10-05 11:59:56,75.0,14.6,13.884
2013-10-05 12:00:00,76.2,14.4,13.899
2013-10-05 12:00:04,77.4,14.0,13.916
2013-10-05 12:00:10,79.6,14.1,13.939
2013-10-05 12:00:16,81.8,13.4,13.961
2013-10-05 12:00:21,80.8,14.5,13.983
2013-10-05 12:00:25,80.6,15.0,14.000
2013-10-05 12:00:30,80.0,15.5,14.022
2013-10-05 12:00:31,79.8,15.4,14.026
2013-10-05 12:00:36,79.2,15.1,14.046
2013-10-05 12:00:42,78.8,13.6,14.067
2013-10-05 12:00:47,78.4,13.5,14.088
2013-10-05 12:00:52,78.0,14.1,14.107
2013-10-05 12:00:57,77.6,14.3,14.127
2013-10-05 12:01:02,77.0,14.1,14.146
2013-10-05 12:01:07,76.4,13.6,14.165
2013-10-05 12:01:11,75.8,13.5,14.180
2013-10-05 12:01:16,75.2,13.5,14.198
2013-10-05 12:01:21,74.4,13.7,14.219
2013-10-05 12:01:22,74.4,13.9,14.222
2013-10-05 12:01:27,73.8,14.1,14.242
2013-10-05 12:01:32,73.4,14.4,14.263
2013-10-05 12:01:38,72.6,14.4,14.287
2013-10-05 12:01:39,72.6,14.3,14.290
2013-10-05 12:01:45,72.0,13.9,14.313
2013-10-05 12:01:50,71.6,13.4,14.331
2013-10-05 12:01:54,71.2,12.9,14.345
2013-10-05 12:01:55,71.0,12.7,14.347
2013-10-05 12:02:00,70.8,12.2,14.364
2013-10-05 12:02:05,70.4,11.9,14.381
2013-10-05 12:02:09,70.2,12.7,14.397
2013-10-05 12:02:14,70.4,14.1,14.417
2013-10-05 12:02:19,71.0,14.5,14.439
2013-10-05 12:02:24,71.8,14.7,14.459
2013-10-05 12:02:29,71.8,14.8,14.479
2013-10-05 12:02:30,71.6,14.8,14.483
2013-10-05 12:02:35,71.4,14.4,14.503
2013-10-05 12:02:40,71.0,14.6,14.524
2013-10-05 12:02:44,70.6,14.7,14.540
2013-10-05 12:02:50,70.2,14.3,14.563
2013-10-05 12:02:54,70.0,14.4,14.580
2013-10-05 12:02:59,70.0,14.4,14.600
2013-10-05 12:03:04,70.0,14.3,14.619
2013-10-05 12:03:10,70.2,14.3,14.644
2013-10-05 12:03:16,70.0,14.1,14.666
2013-10-05 12:03:21,69.8,13.3,14.683
2013-10-05 12:03:26,69.2,13.1,14.703
2013-10-05 12:03:30,69.0,13.8,14.720
2013-10-05 12:03:35,68.6,14.8,14.741
2013-10-05 12:03:40,68.2,14.7,14.760
2013-10-05 12:03:45,68.0,14.3,14.779
2013-10-05 12:03:50,67.8,13.8,14.798
2013-10-05 12:03:55,67.8,13.7,14.818
2013-10-05 12:04:00,68.0,14.2,14.837
2013-10-05 12:04:05,68.2,14.2,14.857
2013-10-05 12:04:06,68.0,14.4,14.863
2013-10-05 12:04:11,67.6,15.0,14.883
2013-10-05 12:04:16,67.4,14.8,14.903
2013-10-05 12:04:21,67.0,14.5,14.924
2013-10-05 12:04:26,66.8,14.3,14.944
2013-10-05 12:04:32,66.6,13.9,14.966
2013-10-05 12:04:37,66.4,13.6,14.984
2013-10-05 12:04:41,66.2,13.4,15.000
2013-10-05 12:04:43,66.2,13.4,15.008
2013-10-05 12:04:49,66.0,13.5,15.030
2013-10-05 12:04:55,66.0,13.0,15.050
2013-10-05 12:05:00,66.0,13.0,15.069
2013-10-05 12:05:05,65.8,13.1,15.088
2013-10-05 12:05:10,65.4,13.2,15.105
2013-10-05 12:05:14,65.4,13.4,15.122
2013-10-05 12:05:18,65.2,13.6,15.137
2013-10-05 12:05:23,65.2,13.9,15.156
2013-10-05 12:05:28,65.4,13.4,15.174
2013-10-05 12:05:32,65.6,13.3,15.189
2013-10-05 12:05:38,66.2,13.7,15.213
2013-10-05 12:05:43,67.2,13.5,15.230
2013-10-05 12:05:48,68.0,13.4,15.249
2013-10-05 12:05:54,68.6,13.1,15.270
2013-10-05 12:05:59,68.8,13.5,15.290
2013-10-05 12:06:03,69.2,13.1,15.301
2013-10-05 12:06:07,69.0,12.6,15.316
2013-10-05 12:06:12,68.8,11.7,15.332
2013-10-05 12:06:17,68.6,12.7,15.350
2013-10-05 12:06:22,68.2,12.5,15.367
2013-10-05 12:06:27,67.8,13.1,15.386
2013-10-05 12:06:32,67.4,13.0,15.404
2013-10-05 12:06:38,67.2,13.3,15.427
2013-10-05 12:06:44,67.0,13.2,15.448
2013-10-05 12:06:49,66.8,13.0,15.466
2013-10-05 12:06:55,66.6,13.2,15.489
2013-10-05 12:06:56,66.6,13.3,15.493
2013-10-05 12:07:02,67.0,13.7,15.516
2013-10-05 12:07:03,67.0,13.7,15.520
2013-10-05 12:07:09,67.4,13.8,15.543
2013-10-05 12:07:15,68.0,13.7,15.566
2013-10-05 12:07:20,67.8,14.0,15.586
2013-10-05 12:07:25,68.0,14.4,15.606
2013-10-05 12:07:26,68.2,14.6,15.610
2013-10-05 12:07:31,68.2,14.7,15.632
2013-10-05 12:07:32,68.2,14.9,15.636
2013-10-05 12:07:36,68.2,15.5,15.654
2013-10-05 12:07:41,68.0,15.4,15.674
2013-10-05 12:07:46,68.0,14.6,15.693
2013-10-05 12:07:50,68.0,14.1,15.709
2013-10-05 12:07:55,68.0,14.0,15.729
2013-10-05 12:08:00,67.8,14.7,15.751
2013-10-05 12:08:05,67.6,15.6,15.773
2013-10-05 12:08:06,67.6,15.5,15.777
2013-10-05 12:08:10,67.2,15.6,15.793
2013-10-05 12:08:15,66.8,15.3,15.815
2013-10-05 12:08:21,66.4,14.7,15.839
2013-10-05 12:08:22,66.4,14.7,15.842
2013-10-05 12:08:27,66.0,14.2,15.863
2013-10-05 12:08:28,66.0,14.3,15.867
2013-10-05 12:08:34,65.6,14.2,15.890
2013-10-05 12:08:39,65.2,14.5,15.911
2013-10-05 12:08:40,65.0,14.5,15.915
2013-10-05 12:08:45,64.6,14.5,15.935
2013-10-05 12:08:50,64.2,14.5,15.954
2013-10-05 12:08:55,63.8,14.5,15.975
2013-10-05 12:08:56,63.6,14.5,15.979
2013-10-05 12:09:01,63.2,14.6,16.000
2013-10-05 12:09:02,63.2,14.6,16.004
2013-10-05 12:09:07,62.8,14.8,16.024
2013-10-05 12:09:12,62.4,15.2,16.047
2013-10-05 12:09:17,61.8,15.3,16.067
2013-10-05 12:09:18,61.8,15.3,16.071
2013-10-05 12:09:23,61.4,14.6,16.091
2013-10-05 12:09:28,60.8,14.0,16.109
2013-10-05 12:09:33,60.4,13.6,16.128
2013-10-05 12:09:38,59.6,13.2,16.146
2013-10-05 12:09:44,58.8,13.8,16.170
2013-10-05 12:09:49,58.2,14.2,16.191
2013-10-05 12:09:50,58.2,14.5,16.195
2013-10-05 12:09:55,57.8,14.7,16.215
2013-10-05 12:09:56,57.6,14.7,16.219
2013-10-05 12:10:02,57.0,14.2,16.242
2013-10-05 12:10:03,57.0,14.1,16.246
2013-10-05 12:10:09,56.4,13.9,16.270
2013-10-05 12:10:13,56.0,13.8,16.285
2013-10-05 12:10:18,55.6,13.9,16.305
2013-10-05 12:10:23,55.4,13.8,16.324
2013-10-05 12:10:27,55.2,14.3,16.340
2013-10-05 12:10:32,55.0,14.1,16.358
2013-10-05 12:10:37,55.0,13.3,16.376
2013-10-05 12:10:42,54.8,13.1,16.395
2013-10-05 12:10:47,54.6,13.7,16.415
2013-10-05 12:10:53,54.6,14.1,16.438
2013-10-05 12:10:54,54.6,14.1,16.442
2013-10-05 12:10:59,54.6,13.9,16.462
2013-10-05 12:11:00,54.6,13.9,16.466
2013-10-05 12:11:06,55.0,13.9,16.489
2013-10-05 12:11:11,55.2,14.6,16.510
2013-10-05 12:11:17,55.0,14.0,16.531
2013-10-05 12:11:23,55.2,12.7,16.553
2013-10-05 12:11:28,55.2,13.0,16.571
2013-10-05 12:11:33,55.4,12.9,16.589
2013-10-05 12:11:38,55.8,13.1,16.607
2013-10-05 12:11:43,56.0,12.9,16.625
2013-10-05 12:11:48,56.2,12.5,16.642
2013-10-05 12:11:54,56.2,12.6,16.663
2013-10-05 12:11:59,56.2,12.8,16.681
2013-10-05 12:12:04,56.4,12.9,16.699
2013-10-05 12:12:10,56.6,12.9,16.720
2013-10-05 12:12:11,56.6,12.9,16.724
2013-10-05 12:12:17,56.6,12.1,16.743
2013-10-05 12:12:23,56.6,12.6,16.766
2013-10-05 12:12:29,56.8,13.5,16.789
2013-10-05 12:12:35,56.8,13.6,16.812
2013-10-05 12:12:39,56.8,13.5,16.826
2013-10-05 12:12:45,56.8,13.8,16.850
2013-10-05 12:12:51,57.0,14.0,16.873
2013-10-05 12:12:57,57.2,13.8,16.897
2013-10-05 12:13:03,57.4,13.6,16.918
2013-10-05 12:13:09,57.4,13.0,16.940
2013-10-05 12:13:15,57.4,13.2,16.963
2013-10-05 12:13:21,57.6,13.8,16.986
2013-10-05 12:13:25,57.6,13.9,17.001
2013-10-05 12:13:27,57.6,13.9,17.010
2013-10-05 12:13:32,57.6,14.2,17.029
2013-10-05 12:13:37,57.6,14.4,17.049
2013-10-05 12:13:42,57.8,14.7,17.071
2013-10-05 12:13:47,58.0,15.2,17.092
2013-10-05 12:13:48,58.2,15.3,17.096
2013-10-05 12:13:53,58.2,15.2,17.117
2013-10-05 12:13:54,58.2,15.1,17.121
2013-10-05 12:13:59,58.2,14.9,17.141
2013-10-05 12:14:00,58.2,14.7,17.145
2013-10-05 12:14:06,58.2,14.5,17.169
2013-10-05 12:14:11,58.2,14.5,17.190
2013-10-05 12:14:13,58.2,14.6,17.198
2013-10-05 12:14:19,58.2,14.4,17.222
2013-10-05 12:14:25,58.0,14.1,17.245
2013-10-05 12:14:31,58.0,14.1,17.269
2013-10-05 12:14:37,57.8,13.9,17.291
2013-10-05 12:14:41,57.6,13.6,17.306
2013-10-05 12:14:46,57.6,12.2,17.321
2013-10-05 12:14:51,57.4,11.5,17.336
2013-10-05 12:14:56,57.4,11.8,17.356
2013-10-05 12:15:01,57.4,12.8,17.375
2013-10-05 12:15:07,57.4,13.1,17.395
2013-10-05 12:15:10,57.4,13.3,17.408
2013-10-05 12:15:16,57.2,13.1,17.430
2013-10-05 12:15:21,57.2,13.5,17.449
2013-10-05 12:15:26,57.0,13.5,17.467
2013-10-05 12:15:31,57.2,13.2,17.485
2013-10-05 12:15:36,58.0,13.3,17.504
2013-10-05 12:15:40,59.0,13.2,17.518
2013-10-05 12:15:45,60.8,13.1,17.537
2013-10-05 12:15:51,64.0,13.1,17.559
2013-10-05 12:15:57,67.6,13.1,17.581
2013-10-05 12:16:01,70.6,13.1,17.596
2013-10-05 12:16:06,74.4,13.1,17.615
2013-10-05 12:16:11,77.8,13.2,17.632
2013-10-05 12:16:16,81.0,12.8,17.650
2013-10-05 12:16:21,84.0,13.2,17.669
2013-10-05 12:16:26,86.2,13.2,17.687
2013-10-05 12:16:31,87.4,12.9,17.703
2013-10-05 12:16:36,88.0,13.0,17.722
2013-10-05 12:16:42,88.0,13.7,17.747
2013-10-05 12:16:47,88.0,13.9,17.765
2013-10-05 12:16:52,88.0,14.2,17.784
2013-10-05 12:16:57,88.0,13.3,17.801
2013-10-05 12:17:01,87.8,12.5,17.814
2013-10-05 12:17:06,87.8,12.1,17.832
2013-10-05 12:17:11,87.8,12.7,17.850
2013-10-05 12:17:16,87.8,13.6,17.870
2013-10-05 12:17:22,87.6,13.9,17.894
2013-10-05 12:17:27,87.6,14.3,17.914
2013-10-05 12:17:32,87.4,14.4,17.934
2013-10-05 12:17:38,87.2,14.2,17.957
2013-10-05 12:17:39,87.2,14.1,17.961
2013-10-05 12:17:44,87.0,14.2,17.981
2013-10-05 12:17:49,86.8,14.2,18.001
2013-10-05 12:17:50,86.8,14.3,18.005
2013-10-05 12:17:50,86.8,14.3,18.005
2013-10-05 12:17:55,86.0,15.3,18.027
2013-10-05 12:17:59,85.2,16.0,18.046
2013-10-05 12:18:02,84.4,16.2,18.059
2013-10-05 12:18:04,84.0,16.3,18.068
2013-10-05 12:18:09,83.2,15.6,18.088
2013-10-05 12:18:10,83.0,15.4,18.091
2013-10-05 12:18:14,82.4,14.7,18.107
2013-10-05 12:18:20,81.4,14.4,18.132
2013-10-05 12:18:25,80.2,15.3,18.154
2013-10-05 12:18:28,79.6,16.1,18.168
2013-10-05 12:18:29,79.4,16.2,18.172
2013-10-05 12:18:33,78.6,15.6,18.188
2013-10-05 12:18:39,77.6,14.1,18.211
2013-10-05 12:18:45,76.6,13.5,18.233
2013-10-05 12:18:51,75.8,13.1,18.255
2013-10-05 12:18:57,74.8,13.1,18.277
2013-10-05 12:18:58,74.6,13.2,18.280
2013-10-05 12:19:03,74.0,13.2,18.299
2013-10-05 12:19:09,73.2,13.2,18.321
2013-10-05 12:19:14,72.4,13.3,18.339
2013-10-05 12:19:19,71.8,13.3,18.358
2013-10-05 12:19:25,71.2,13.2,18.380
2013-10-05 12:19:27,71.0,13.2,18.387
2013-10-05 12:19:33,70.2,13.0,18.408
2013-10-05 12:19:39,69.6,13.1,18.431
2013-10-05 12:19:45,69.0,13.0,18.452
2013-10-05 12:19:46,69.0,13.2,18.456
2013-10-05 12:19:52,68.4,13.3,18.478
2013-10-05 12:19:58,68.0,13.5,18.501
2013-10-05 12:20:04,67.8,13.0,18.522
2013-10-05 12:20:06,67.6,13.0,18.530
2013-10-05 12:20:12,67.2,12.6,18.550
2013-10-05 12:20:18,67.0,12.8,18.572
2013-10-05 12:20:24,66.4,12.4,18.592
2013-10-05 12:20:28,66.2,12.2,18.605
2013-10-05 12:20:34,65.6,12.1,18.626
2013-10-05 12:20:39,65.2,12.3,18.644
2013-10-05 12:20:45,64.8,12.7,18.665
2013-10-05 12:20:50,64.6,13.1,18.684
2013-10-05 12:20:55,64.2,13.3,18.703
2013-10-05 12:21:01,63.8,13.7,18.726
2013-10-05 12:21:06,63.4,14.1,18.747
2013-10-05 12:21:07,63.4,14.0,18.749
2013-10-05 12:21:13,63.0,13.5,18.771
2013-10-05 12:21:19,62.8,12.9,18.792
2013-10-05 12:21:24,62.4,12.5,18.810
2013-10-05 12:21:30,62.2,12.7,18.831
2013-10-05 12:21:36,61.8,13.0,18.854
2013-10-05 12:21:41,61.6,13.2,18.872
2013-10-05 12:21:47,61.4,13.5,18.894
2013-10-05 12:21:53,61.0,13.0,18.916
2013-10-05 12:21:58,60.8,13.0,18.935
2013-10-05 12:22:03,60.8,13.3,18.953
2013-10-05 12:22:08,60.8,13.0,18.970
2013-10-05 12:22:13,61.0,12.5,18.988
2013-10-05 12:22:17,61.2,12.7,19.002
2013-10-05 12:22:19,61.8,12.5,19.007
2013-10-05 12:22:24,62.4,11.4,19.020
2013-10-05 12:22:28,62.8,11.1,19.033
2013-10-05 12:22:34,63.8,12.2,19.056
2013-10-05 12:22:35,64.0,12.7,19.060
2013-10-05 12:22:39,64.0,14.0,19.077
2013-10-05 12:22:44,64.2,14.6,19.097
2013-10-05 12:22:48,64.4,13.6,19.109
2013-10-05 12:22:53,64.2,12.1,19.125
2013-10-05 12:22:58,64.2,12.1,19.145
2013-10-05 12:23:03,64.2,14.1,19.165
2013-10-05 12:23:04,64.2,14.3,19.169
2013-10-05 12:23:09,64.4,14.2,19.189
2013-10-05 12:23:15,64.6,13.2,19.209
2013-10-05 12:23:20,64.8,12.5,19.226
2013-10-05 12:23:24,65.0,13.0,19.244
2013-10-05 12:23:29,65.0,14.3,19.264
2013-10-05 12:23:31,65.0,14.6,19.272
2013-10-05 12:23:36,64.8,15.3,19.295
2013-10-05 12:23:37,64.8,15.4,19.299
2013-10-05 12:23:42,64.4,15.6,19.320
2013-10-05 12:23:43,64.2,15.6,19.325
2013-10-05 12:23:47,63.8,14.8,19.340
2013-10-05 12:23:52,63.4,13.7,19.358
2013-10-05 12:23:57,63.0,14.0,19.378
2013-10-05 12:23:58,63.0,14.0,19.382
2013-10-05 12:24:04,62.4,14.4,19.405
2013-10-05 12:24:10,61.8,14.1,19.429
2013-10-05 12:24:15,61.4,14.2,19.449
2013-10-05 12:24:19,61.2,14.4,19.465
2013-10-05 12:24:24,60.6,14.7,19.485
2013-10-05 12:24:28,60.4,14.6,19.502
2013-10-05 12:24:34,59.8,13.9,19.523
2013-10-05 12:24:40,59.0,13.4,19.546
2013-10-05 12:24:46,58.6,13.0,19.566
2013-10-05 12:24:51,58.2,13.5,19.587
2013-10-05 12:24:56,57.8,14.2,19.607
2013-10-05 12:24:58,57.6,14.7,19.615
2013-10-05 12:25:03,57.2,14.7,19.636
2013-10-05 12:25:05,57.2,14.6,19.644
2013-10-05 12:25:09,56.8,14.5,19.660
2013-10-05 12:25:14,56.6,14.3,19.680
2013-10-05 12:25:19,56.2,14.5,19.701
2013-10-05 12:25:23,56.0,15.0,19.718
2013-10-05 12:25:29,55.8,14.6,19.740
2013-10-05 12:25:35,55.6,13.5,19.763
2013-10-05 12:25:40,55.4,13.4,19.783
2013-10-05 12:25:46,55.2,13.9,19.805
2013-10-05 12:25:51,54.8,13.8,19.825
2013-10-05 12:25:54,54.8,14.0,19.837
2013-10-05 12:26:00,54.4,14.1,19.859
2013-10-05 12:26:05,54.2,13.6,19.878
2013-10-05 12:26:11,53.8,13.3,19.901
2013-10-05 12:26:16,53.6,13.8,19.920
2013-10-05 12:26:22,53.2,13.7,19.942
2013-10-05 12:26:24,53.2,13.6,19.950
2013-10-05 12:26:30,52.8,13.7,19.973
2013-10-05 12:26:36,52.4,13.6,19.996
2013-10-05 12:26:37,52.4,13.6,19.999
2013-10-05 12:26:38,52.4,13.5,20.002
2013-10-05 12:26:43,52.2,13.5,20.021
2013-10-05 12:26:47,52.2,13.6,20.037
2013-10-05 12:26:53,52.0,13.4,20.059
2013-10-05 12:26:59,51.8,13.3,20.082
2013-10-05 12:27:05,51.6,13.2,20.103
2013-10-05 12:27:11,51.2,13.1,20.125
2013-10-05 12:27:16,51.2,13.5,20.145
2013-10-05 12:27:21,51.0,14.0,20.165
2013-10-05 12:27:26,50.8,14.1,20.185
2013-10-05 12:27:31,50.8,14.5,20.206
2013-10-05 12:27:36,50.6,14.5,20.225
2013-10-05 12:27:40,50.4,13.8,20.239
2013-10-05 12:27:45,50.4,13.1,20.258
2013-10-05 12:27:51,50.2,13.3,20.280
2013-10-05 12:27:56,50.0,13.6,20.299
2013-10-05 12:27:57,50.0,13.5,20.303
2013-10-05 12:28:03,49.8,13.5,20.325
2013-10-05 12:28:06,49.8,13.0,20.335
2013-10-05 12:28:09,49.6,12.4,20.344
2013-10-05 12:28:11,49.6,11.8,20.350
2013-10-05 12:28:13,49.6,11.4,20.357
2013-10-05 12:28:19,49.4,11.1,20.375
2013-10-05 12:28:23,49.4,12.0,20.391
2013-10-05 12:28:24,49.4,12.3,20.395
2013-10-05 12:28:29,49.2,13.1,20.415
2013-10-05 12:28:34,49.2,14.3,20.435
2013-10-05 12:28:35,49.0,14.4,20.439
2013-10-05 12:28:39,49.0,14.1,20.455
2013-10-05 12:28:45,48.8,13.9,20.476
2013-10-05 12:28:51,48.6,13.6,20.500
2013-10-05 12:28:55,48.4,13.5,20.515
2013-10-05 12:28:56,48.4,13.4,20.518
2013-10-05 12:28:59,48.4,13.6,20.530
2013-10-05 12:29:01,48.4,13.4,20.538
2013-10-05 12:29:02,48.4,13.2,20.541
2013-10-05 12:29:07,48.4,11.4,20.553
2013-10-05 12:29:11,48.4,12.0,20.571
2013-10-05 12:29:15,48.6,12.2,20.585
2013-10-05 12:29:20,48.8,13.9,20.604
2013-10-05 12:29:25,49.2,14.0,20.624
2013-10-05 12:29:30,49.6,14.3,20.644
2013-10-05 12:29:31,49.6,14.3,20.647
2013-10-05 12:29:35,49.8,13.9,20.664
2013-10-05 12:29:40,50.0,13.8,20.682
2013-10-05 12:29:44,50.4,13.4,20.697
2013-10-05 12:29:49,51.4,13.4,20.716
2013-10-05 12:29:55,52.8,13.1,20.737
2013-10-05 12:29:56,53.0,13.1,20.741
2013-10-05 12:30:02,54.6,12.8,20.762
2013-10-05 12:30:04,55.0,12.6,20.768
2013-10-05 12:30:10,56.6,12.3,20.789
2013-10-05 12:30:15,57.6,12.3,20.806
2013-10-05 12:30:21,58.8,12.5,20.827
2013-10-05 12:30:22,59.0,12.5,20.831
2013-10-05 12:30:27,59.4,12.7,20.848
2013-10-05 12:30:33,59.4,12.9,20.870
2013-10-05 12:30:39,59.2,13.1,20.892
2013-10-05 12:30:45,58.8,13.5,20.915
2013-10-05 12:30:46,58.8,13.6,20.920
2013-10-05 12:30:51,58.4,13.8,20.938
2013-10-05 12:30:56,58.0,13.8,20.957
2013-10-05 12:31:01,57.6,14.4,20.979
2013-10-05 12:31:03,57.4,14.5,20.986
2013-10-05 12:31:07,57.0,14.8,21.003
2013-10-05 12:31:10,56.8,15.0,21.016
2013-10-05 12:31:15,56.2,14.9,21.037
2013-10-05 12:31:20,55.6,15.0,21.057
2013-10-05 12:31:22,55.6,15.0,21.066
2013-10-05 12:31:27,55.0,14.4,21.084
2013-10-05 12:31:28,55.0,14.0,21.087
2013-10-05 12:31:32,54.6,13.4,21.103
2013-10-05 12:31:34,54.4,13.4,21.112
2013-10-05 12:31:36,54.2,13.5,21.120
2013-10-05 12:31:41,53.6,14.4,21.140
2013-10-05 12:31:42,53.4,14.4,21.144
2013-10-05 12:31:47,52.8,14.5,21.164
2013-10-05 12:31:49,52.6,14.5,21.172
2013-10-05 12:31:54,52.2,14.4,21.192
2013-10-05 12:31:55,52.0,14.5,21.196
2013-10-05 12:32:00,51.6,14.0,21.215
2013-10-05 12:32:04,51.0,12.4,21.224
2013-10-05 12:32:08,50.8,10.5,21.235
2013-10-05 12:32:12,50.4,10.5,21.252
2013-10-05 12:32:13,50.4,10.6,21.256
2013-10-05 12:32:18,50.0,13.5,21.275
2013-10-05 12:32:23,49.6,14.3,21.295
2013-10-05 12:32:24,49.6,14.3,21.299
2013-10-05 12:32:29,49.4,14.2,21.319
2013-10-05 12:32:35,49.0,14.2,21.343
2013-10-05 12:32:40,48.8,14.1,21.362
2013-10-05 12:32:45,48.6,14.1,21.382
2013-10-05 12:32:50,48.4,14.1,21.402
2013-10-05 12:32:55,48.2,14.4,21.423
2013-10-05 12:33:00,48.0,14.9,21.444
